Country,Population,Exports,Imports,Consumption per person,Consumption per person (lbs)
India,1428627663,6336.0,1550,1.0849572916326764e-06,0.14104444791224793
China,1425671352,1175.0,4150,2.910909301907611e-06,0.37841820924798947
United States,339996563,0.0,25425,7.47801677042247e-05,9.721421801549212
Indonesia,277534122,6050.0,1720,6.197436148049572e-06,0.8056666992464444
Nigeria,223804632,0.0,0,0.0,0.0
Brazil,216422446,43850.0,75,3.46544461474204e-07,0.04505077999164652
Russia,144444359,0.0,4250,2.9423094327968877e-05,3.825002262635954
Ethiopia,126527060,4820.0,0,0.0,0.0
Mexico,128455567,3025.0,1900,1.4791106717858323e-05,1.922843873321582
Japan,123294513,0.0,6800,5.5152494904619154e-05,7.16982433760049
Philippines,117337368,0.0,6300,5.369133556839284e-05,6.979873623891069
Egypt,112716598,0.0,300,2.6615423577634944e-06,0.3460005065092543
Vietnam,98858950,25000.0,720,7.2831038565552235e-06,0.946803501352179
Iran,89172767,0.0,800,8.971348842410598e-06,1.1662753495133777
Turkey,85816199,0.0,1530,1.782880176270683e-05,2.317744229151888
Thailand,71801279,1100.0,1030,1.4345148364279137e-05,1.8648692873562878
Tanzania,67438106,1270.0,6,8.897047019677569e-08,0.01156616112558084
United Kingdom,67736802,0.0,4200,6.20046987160687e-05,8.06061083308893
South Africa,60414495,0.0,750,1.2414239331140648e-05,1.6138511130482842
Kenya,55100586,760.0,18,3.266752916203105e-07,0.04246778791064037
Colombia,52085168,12000.0,2505,4.8094305849219876e-05,6.252259760398584
Uganda,48582334,6515.0,0,0.0,0.0
Algeria,45606480,0.0,1950,4.2757081888363234e-05,5.558420645487221
Argentina,45773884,0.0,1040,2.2720379157687383e-05,2.9536492904993596
Canada,38781291,0.0,5400,0.00013924239912487698,18.101511886234007
Morocco,37840044,0.0,930,2.457713844095953e-05,3.195027997324739
Ukraine,36744634,0.0,1000,2.7214858093293294e-05,3.537931552128128
Angola,36684202,15.0,0,0.0,0.0
Saudi Arabia,36947025,0.0,1000,2.706577863846954e-05,3.5185512230010403
Yemen,34449825,0.0,0,0.0,0.0
Ghana,34121985,0.0,0,0.0,0.0
Peru,34352719,4060.0,90,2.6198799576825346e-06,0.3405843944987295
Malaysia,34308525,2300.0,1450,4.226354819975502e-05,5.494261265968152
Madagascar,30325732,10.0,0,0.0,0.0
Venezuela,28838499,5.0,2,6.935173706509482e-08,0.009015725818462326
Cameroon,28647293,200.0,0,0.0,0.0
Australia,26439111,0.0,2250,8.510119723768321e-05,11.063155640898819
Taiwan,23923276,0.0,700,2.9260206670691758e-05,3.8038268671899287
Sri Lanka,21893579,0.0,0,0.0,0.0
Malawi,20931751,9.0,0,0.0,0.0
Zambia,20569737,0.0,0,0.0,0.0
Kazakhstan,19606633,0.0,350,1.7851101716444633e-05,2.3206432231378025
Chile,19629590,0.0,225,1.1462287291787551e-05,1.4900973479323816
Ecuador,18190484,451.0,426,2.34188381133784e-05,3.044448954739192
Guatemala,18092026,3169.0,360,1.9898268994307214e-05,2.5867749692599378
Senegal,17763163,0.0,50,2.814814005816419e-06,0.3659258207561345
Zimbabwe,16665409,0.0,0,0.0,0.0
Guinea,14190612,185.0,0,0.0,0.0
Rwanda,14094683,250.0,0,0.0,0.0
Benin,13712828,0.0,0,0.0,0.0
Burundi,13238559,200.0,0,0.0,0.0
Bolivia,12388571,40.0,0,0.0,0.0
Haiti,11724763,0.0,0,0.0,0.0
Dominican Republic,11332972,15.0,0,0.0,0.0
Jordan,11337052,0.0,650,5.7334128837020415e-05,7.453436748812654
Cuba,11194449,20.0,0,0.0,0.0
Honduras,10593798,6200.0,25,2.3598713133854356e-06,0.30678327074010664
Papua New Guinea,10329931,850.0,0,0.0,0.0
Togo,9053799,80.0,0,0.0,0.0
Sierra Leone,8791092,50.0,0,0.0,0.0
Switzerland,8796669,1850.0,3500,0.00039787787854698184,51.724124211107636
Laos,7633779,370.0,0,0.0,0.0
Nicaragua,7046310,2580.0,25,3.547956306208498e-06,0.4612343198071047
Serbia,7149077,0.0,715,0.00010001291075757052,13.001678398484168
Paraguay,6861524,0.0,0,0.0,0.0
El Salvador,6364943,610.0,230,3.613543750509628e-05,4.697606875662516
Singapore,6014723,0.0,100,1.6625869553759998e-05,2.1613630419887997
Central African Republic,5742315,0.0,0,0.0,0.0
Liberia,5418377,0.0,0,0.0,0.0
Norway,5474360,0.0,790,0.00014430910645262643,18.760183838841435
New Zealand,5228100,0.0,560,0.00010711348290966125,13.924752778255963
Costa Rica,5212173,1210.0,170,3.2615954996121576e-05,4.240074149495805
Panama,4468087,36.0,85,1.9023801461341284e-05,2.473094189974367
Croatia,4008617,0.0,0,0.0,0.0
Georgia,3728282,0.0,90,2.4139804875274994e-05,3.138174633785749
Uruguay,3423108,0.0,40,1.168528717177489e-05,1.5190873323307357
Bosnia and Herzegovina,3210847,0.0,290,9.031884733218369e-05,11.74145015318388
Albania,2832439,0.0,60,2.1183156989435605e-05,2.7538104086266286
Jamaica,2825544,10.0,0,0.0,0.0
Armenia,2777970,0.0,250,8.999377243094778e-05,11.699190416023212
Gabon,2436566,0.0,0,0.0,0.0
North Macedonia,2085679,0.0,85,4.0754114127821204e-05,5.298034836616757
Equatorial Guinea,1714671,0.0,0,0.0,0.0
Trinidad and Tobago,1534937,0.0,0,0.0,0.0
Guyana,813834,0.0,0,0.0,0.0
Montenegro,626485,0.0,35,5.5867259391685356e-05,7.262743720919096
New Caledonia,292991,0.0,0,0.0,0.0
