Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply
Canada,2013,0,0,2525,0,4605,0,0,4605,0,0,0,730,0,3255,1350,0,1350,4605,4605
Canada,2014,0,0,2450,0,4495,0,0,4495,0,0,0,765,0,3215,1280,0,1280,4495,4495
Canada,2015,0,0,2800,0,4545,0,0,4545,0,0,0,375,0,3175,1370,0,1370,4545,4545
Canada,2016,0,0,3030,0,4550,0,0,4550,0,0,0,220,0,3250,1300,0,1300,4550,4550
Canada,2017,0,0,3035,0,4750,0,0,4750,0,0,0,285,0,3320,1430,0,1430,4750,4750
Canada,2018,0,0,3135,0,4885,0,0,4885,0,0,0,350,0,3485,1400,0,1400,4885,4885
Canada,2019,0,0,2835,0,4830,0,0,4830,0,0,0,480,0,3315,1515,0,1515,4830,4830
Canada,2020,0,0,2860,0,4995,0,0,4995,0,0,0,475,0,3335,1660,0,1660,4995,4995
Canada,2021,0,0,2940,0,5330,0,0,5330,0,0,0,550,0,3490,1840,0,1840,5330,5330
Canada,2022,0,0,2700,0,5110,0,0,5110,0,0,0,450,0,3150,1960,0,1960,5110,5110
Canada,2023,0,0,3100,0,5400,0,0,5400,0,0,0,500,0,3600,1800,0,1800,5400,5400
European Union,2013,0,0,44650,10845,41475,12400,1620,44650,0,0,1185,0,0,39195,2280,435,0,55495,55495
European Union,2014,0,0,45140,12400,43870,12225,1445,45140,0,0,1220,0,0,41390,2480,225,0,57540,57540
European Union,2015,0,0,46150,12225,44095,12100,2180,46150,0,0,1660,0,0,41590,2505,520,0,58375,58375
European Union,2016,0,0,43425,12100,39045,13900,2580,43425,0,0,1820,0,0,36555,2490,760,0,55525,55525
European Union,2017,0,0,44510,13900,42065,13500,2845,44510,0,0,1875,0,0,39845,2220,970,0,58410,58410
European Union,2018,0,0,45890,13500,42092,14332,2966,45890,0,0,1806,0,0,39992,2100,1160,0,59390,59390
European Union,2019,0,0,44460,14332,40264,15038,3490,44460,0,0,2275,0,0,37964,2300,1215,0,58792,58792
European Union,2020,0,0,43875,15038,41271,13767,3875,43875,0,0,2415,0,0,38916,2355,1460,0,58913,58913
European Union,2021,0,0,46600,13767,41867,14000,4500,46600,0,0,2680,0,0,39947,1920,1820,0,60367,60367
European Union,2022,0,0,44470,14000,44462,9313,4695,44470,0,0,2975,0,0,42257,2205,1720,0,58470,58470
European Union,2023,0,0,47000,9313,43125,9088,4100,47000,0,0,2500,0,0,41000,2125,1600,0,56313,56313
Japan,2013,0,0,6890,2980,7750,3100,0,7870,0,0,0,140,0,6910,840,0,840,10850,10850
Japan,2014,0,0,7185,3100,7860,3350,0,8110,0,0,0,110,0,7045,815,0,815,11210,11210
Japan,2015,0,0,7280,3350,8060,3485,0,8195,0,0,0,105,0,7250,810,0,810,11545,11545
Japan,2016,0,0,7000,3485,8210,3305,0,8030,0,0,0,105,0,7285,925,0,925,11515,11515
Japan,2017,0,0,6500,3305,8231,2794,0,7720,0,0,0,80,0,7091,1140,0,1140,11025,11025
Japan,2018,0,0,7370,2794,7897,3217,0,8320,0,0,0,90,0,7037,860,0,860,11114,11114
Japan,2019,0,0,6550,3217,7610,2897,0,7290,0,0,0,110,0,6980,630,0,630,10507,10507
Japan,2020,0,0,6520,2897,7354,2693,0,7150,0,0,0,100,0,6824,530,0,530,10047,10047
Japan,2021,0,0,6800,2693,7210,2898,0,7415,0,0,0,115,0,6710,500,0,500,10108,10108
Japan,2022,0,0,5860,2898,6886,2517,0,6505,0,0,0,110,0,6351,535,0,535,9403,9403
Japan,2023,0,0,6200,2517,7317,2000,0,6800,0,0,0,100,0,6817,500,0,500,9317,9317
United States,2013,51,0,24550,5450,23811,6025,580,24915,0,51,580,0,0,23446,365,0,365,30416,30416
United States,2014,45,0,23525,6025,23568,6117,380,23995,0,45,380,0,0,23098,470,0,470,30065,30065
United States,2015,40,0,25100,6117,25083,6199,60,25185,0,40,60,0,0,24998,85,0,85,31342,31342
United States,2016,33,0,25810,6199,25512,7190,0,26470,0,33,0,160,0,25012,500,0,500,32702,32702
United States,2017,32,0,24450,7190,25557,6440,0,24775,0,32,0,115,0,25347,210,0,210,31997,31997
United States,2018,54,0,27150,6440,27162,7352,0,28020,0,54,0,370,0,26662,500,0,500,34514,34514
United States,2019,39,0,23900,7352,26049,6402,0,25060,0,39,0,360,0,25249,800,0,800,32451,32451
United States,2020,33,0,24320,6402,25922,6023,0,25510,0,33,0,605,0,25337,585,0,585,31945,31945
United States,2021,38,0,25225,6023,26723,6378,0,27040,0,38,0,580,0,25488,1235,0,1235,33101,33101
United States,2022,40,0,22540,6378,24623,5700,0,23905,0,40,0,640,0,23898,725,0,725,30323,30323
United States,2023,50,0,24000,5700,25475,5700,0,25425,0,50,0,625,0,24675,800,0,800,31175,31175
